OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,Comments,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,ENERGYSTARScore_is_missing,flag_anomalie,type_anomalie,critere_detection,action,justification,IsZeroFloorReported,IsAggregatedCampus,_ratio_usage,_energy_gap_pct
516,2016,NonResidential,Other,Aurora Shopping Center,13201 Aurora Avenue North,Seattle,WA,98133.0,1926049215,5,NORTHWEST,47.72546,-122.34659,1964,6.0,1.0,111900,0,111900,"Parking, Strip Mall",Strip Mall,124231.0,Parking,0.0,,,,,79.0,81.09999847,190.5,193.0,9814820.0,10079993.0,0.0,1872845.375,6390148.0,34246.69922,3424670.0,False,,Compliant,,226.43,2.02,True,False,Ratio Usage/Total intermédiaire (multi-usages),1.05 < Ratio ≤ 1.30 + NumberofBuildings > 1,✅ Conservation sélective,Dépassement structurel accepté pour bâtiments complexes,False,False,1.1101966041108133,0.0
539,2016,NonResidential,Retail Store,University Center,4501 Roosevelt Way NE,Seattle,WA,98105.0,5335200380,4,NORTHEAST,47.66178,-122.31812,1987,1.0,2.0,69492,0,69492,Retail Store,Retail Store,69800.0,Other,0.0,,,,100.0,4.599999905,4.599999905,14.30000019,14.30000019,318962.8125,318962.8125,0.0,93482.60156,318963.0,0.0,0.0,False,,Non-Compliant,Low outlier,2.22,0.03,False,True,Statut Error/Missing,ComplianceStatus invalide,❌ Suppression,Données explicitement invalidées,False,False,1.0044321648535084,0.0
552,2016,NonResidential,Distribution Center,South Seattle Distribution Center- 3800,3800 1st Avenue South,Seattle,WA,98134.0,6172900005,2,GREATER DUWAMISH,47.5701,-122.33342,1968,1.0,1.0,161678,0,161678,Distribution Center,Distribution Center,162425.0,,,,,,25.0,57.59999847,62.09999847,142.0,145.5,9357230.0,10093972.0,0.0,1855803.75,6332002.0,30252.27148,3025227.0,False,,Compliant,,204.81,1.27,False,False,Ratio Usage/Total toléré (≤ 1.05),1.00 < Ratio ≤ 1.05,✅ Conservation,Incertitude de mesure acceptable (< 5%),False,False,1.0046202946597558,0.0
554,2016,NonResidential,Distribution Center,South Seattle Distribution Center- 3601,3601 2ND AVE S,Seattle,WA,98134.0,6172900015,2,GREATER DUWAMISH,47.57023,-122.33241,1980,1.0,1.0,52613,0,52613,Distribution Center,Distribution Center,59504.0,,,,,,80.0,17.79999924,20.70000076,37.29999924,40.29999924,1061458.25,1231121.75,0.0,154710.5,527872.0,5335.860352,533586.0,False,,Compliant,,32.02,0.61,False,True,Ratio Usage/Total critique (monostructurel),1.05 < Ratio ≤ 1.30 + monostructurel,❌ Suppression,Incohérence structurelle (risque sous-estimation 20%+ sur EUI),False,False,1.1309752342576929,0.0
561,2016,NonResidential,Large Office,Alley24,221 Yale Avenue North,Seattle,WA,98109.0,6849700145,7,LAKE UNION,47.62029,-122.33078,2005,1.0,6.0,336700,124800,211900,"Office, Parking, Retail Store",Office,217977.0,Parking,4569.0,Retail Store,0.0,,95.0,41.59999847,42.20000076,113.5,113.5,9058916.0,9200102.0,0.0,2308731.75,7877393.0,0.0,0.0,False,,Compliant,,54.92,0.16,False,True,Incohérence énergétique,Écart sources/total > 10%,❌ Suppression,CO₂ mathématiquement corrompu (déconnexion sources/total),False,False,0.6473923373923374,13.04
586,2016,NonResidential,Retail Store,"SEATTLE, WA-0106",401 NE NORTHGATE WAY STE 475,Seattle,WA,98125.0,3226049481,5,NORTH,47.70759,-122.3255,1965,1.0,2.0,168619,0,168619,Retail Store,Retail Store,173106.0,,,,,2009,78.0,37.29999924,38.79999924,105.0,106.9000015,6455828.5,6718441.0,0.0,1599320.5,5456882.0,9989.459961,998946.0,False,,Compliant,,91.1,0.54,False,False,Ratio Usage/Total toléré (≤ 1.05),1.00 < Ratio ≤ 1.05,✅ Conservation,Incertitude de mesure acceptable (< 5%),False,False,1.0266102870969465,0.0
599,2016,NonResidential,Refrigerated Warehouse,Uwajimaya (Seattle 5),4601 6th Ave S,Seattle,WA,98108.0,3958900565,2,GREATER DUWAMISH,47.56158,-122.32754,1971,1.0,1.0,76354,0,76354,Refrigerated Warehouse,Refrigerated Warehouse,76486.0,,,,,,70.0,37.20000076,36.5,116.4000015,114.3000031,2843033.5,2792753.5,0.0,830282.5,2832924.0,101.0899963,10109.0,False,,Compliant,,20.29,0.27,False,False,Ratio Usage/Total toléré (≤ 1.05),1.00 < Ratio ≤ 1.05,✅ Conservation,Incertitude de mesure acceptable (< 5%),False,False,1.0017287895853524,0.0
608,2016,NonResidential,Large Office,411 1ST AVE  S (ID608),411 1ST AVE S,Seattle,WA,98104.0,5247800200,2,DOWNTOWN,47.59878,-122.33458,1913,5.0,7.0,154159,0,154159,Office,Office,193154.0,,,,,,100.0,58.0,58.79999924,28.0,28.70000076,11195917.0,11348758.0,0.0,471503.0,1608768.0,3430.500488,343050.0,False,,Non-Compliant,Low outlier,29.43,0.19,False,True,Statut Error/Missing,ComplianceStatus invalide,❌ Suppression,Données explicitement invalidées,False,False,1.252953119830824,82.57
618,2016,NonResidential,Small- and Mid-Sized Office,Prefontaine,110 Prefontaine Pl S,Seattle,WA,98104.0,5247801045,7,DOWNTOWN,47.60159,-122.32915,1909,1.0,6.0,73470,0,73470,"Non-Refrigerated Warehouse, Office, Retail Store",Office,47145.0,Non-Refrigerated Warehouse,9477.0,Retail Store,9477.0,,83.0,48.59999847,51.59999847,152.6000061,161.8999939,3212269.0,3408133.75,0.0,941462.125,3212269.0,0.0,0.0,True,,Error - Correct Default Data,,22.39,0.3,False,True,Statut Error/Missing,ComplianceStatus invalide,❌ Suppression,Données explicitement invalidées,False,False,0.6416904859126173,0.0
624,2016,NonResidential,Other,South Occidental Warehouse,1900 Occidental Ave S,Seattle,WA,98134.0,7666206115,2,GREATER DUWAMISH,47.58444,-122.33282,1941,2.0,2.0,125519,0,125519,Manufacturing/Industrial Plant,Manufacturing/Industrial Plant,142901.0,,,,,,,15.69999981,15.69999981,49.29999924,49.29999924,2244317.0,2244317.0,0.0,657771.625,2244317.0,0.0,0.0,False,,Compliant,,15.65,0.12,True,False,Ratio Usage/Total intermédiaire (multi-usages),1.05 < Ratio ≤ 1.30 + NumberofBuildings > 1,✅ Conservation sélective,Dépassement structurel accepté pour bâtiments complexes,False,False,1.1384810267768226,0.0
